RowNumber,CustomerId,FullName,CreditScore,Province,Gender,Age,Tenure,Balance,NumOfProducts,HasCrCard,IsActiveMember,EstimatedSalary,Exited
53,15683553,Dương Hải Mai,,Hà Nội,Female,33.0,5,0.0,2,0,0,116978.19,0
56,15760861,Vũ Hữu Hải,619.0,Đà Nẵng,Male,43.0,1,125211.92,1,1,1,113410.49,0
57,15630053,Lê Phương Phúc,656.0,Hà Nội,Male,45.0,5,127864.4,1,1,0,,0
58,15647091,Đặng Hữu Lan,725.0,Kiên Giang,Male,19.0,0,75888.2,1,0,0,45613.75,0
60,15804771,Ngô Thị Hùng,614.0,Đồng Nai,Male,51.0,4,,1,1,1,,0
61,15651280,Võ Phương Lan,742.0,Lâm Đồng,Male,35.0,5,136857.0,1,0,0,84509.57,0
62,15773469,Lý Ngọc Hải,,Kiên Giang,Female,27.0,9,152328.88,2,0,0,126494.82,0
63,15702014,Nguyễn Thùy Hà,555.0,Khánh Hòa,Male,33.0,1,56084.69,2,0,0,178798.13,0
64,15751208,Bùi Ngọc Thảo,684.0,Nghệ An,Male,56.0,8,78707.16,1,1,1,99398.36,0
65,15592461,Dương Ngọc Nam,,Thừa Thiên Huế,Male,26.0,4,109166.37,1,1,1,92840.67,0
66,15789484,Bùi Xuân Tâm,751.0,Long An,Female,36.0,6,169831.46,2,1,1,27758.36,0
67,15696061,Ngô Hoàng Mai,581.0,Đà Nẵng,Female,34.0,1,nan,1,1,0,110431.51,0
68,15641582,Lê Thanh Khánh,735.0,Hà Nội,Male,43.0,10,123180.01,2,1,1,196673.28,0
69,15638424,Đỗ Văn Trang,661.0,Long An,Female,35.0,5,150725.53,2,0,1,,0
70,15755648,Đỗ Ngọc Nam,234.0,Cần Thơ,Female,109.0,8,667497.5700371269,1,1,0,18203.0,0
72,15620344,Nguyễn Ngọc Hùng,813.0,Đồng Nai,Male,29.0,6,0.0,1,1,0,33953.87,0
73,15812518,Lê Ngọc Mai,657.0,Bắc Ninh,Female,37.0,0,163607.18,1,0,1,44203.55,0
74,15779052,Lê Tuấn Tuấn,604.0,Bà Rịa - Vũng Tàu,Female,25.0,5,157780.84,2,1,1,58426.81,0
75,15770811,Lê Hải Hà,519.0,Khánh Hòa,Male,36.0,9,0.0,2,0,1,145562.4,0
76,15780961,Ngô Thùy Hùng,735.0,Bình Dương,Female,,1,,2,1,0,,0
77,15614049,Trần Hữu Khoa,664.0,Quảng Ninh,Male,55.0,8,0.0,2,1,1,139161.64,0
78,15662085,Hoàng Thùy Tâm,678.0,Đồng Nai,Female,32.0,9,0.0,1,1,1,148210.64,0
79,15575185,Bùi Hoàng Tâm,757.0,Cần Thơ,Male,33.0,5,77253.22,1,0,1,194239.63,0
80,15803136,Bùi Phương Minh,416.0,Bà Rịa - Vũng Tàu,Female,41.0,10,122189.66,2,1,0,98301.61,0
81,15706021,Võ Minh Linh,665.0,Long An,Female,,1,96645.54,2,0,0,,0
83,15641732,Ngô Hữu Dũng,,Long An,Female,36.0,3,0.0,2,0,0,26019.59,0
84,15701164,Trần Minh Minh,506.0,Nghệ An,Female,34.0,4,90307.62,1,1,1,159235.29,0
85,15738751,Nguyễn Tuấn Hải,493.0,Thừa Thiên Huế,Female,46.0,4,0.0,2,1,0,1907.66,0
86,15805254,Dương Văn Thảo,652.0,Cần Thơ,Female,75.0,10,0.0,2,1,1,114675.75,0
88,15625759,Dương Hoàng Hùng,,Bắc Ninh,Male,30.0,9,0.0,2,1,0,151869.35,0
90,15767954,Dương Thanh Huyền,635.0,Khánh Hòa,Female,,3,81623.67,2,1,1,156791.36,0
92,15731511,Trần Thị Trang,808.0,Bình Dương,Male,45.0,7,118626.55,2,1,0,147132.46,0
93,15809248,Lý Phương Khánh,524.0,Hà Nội,Female,36.0,10,,2,1,0,109614.57,0
94,15640635,Vũ Minh Linh,769.0,Hà Nội,Male,29.0,8,0.0,2,1,1,172290.61,0
95,15676966,Lý Hữu Khoa,730.0,Lâm Đồng,Male,,4,0.0,2,0,1,85982.47,0
96,15699461,Hoàng Tuấn Mai,515.0,TP.HCM,Male,35.0,10,,1,0,1,121277.78,0
97,15738721,Phạm Hữu Nam,773.0,Bắc Ninh,Male,41.0,9,102827.44,1,0,1,64595.25,0
98,15693683,Đỗ Thị Anh,814.0,Khánh Hòa,Male,29.0,8,97086.4,2,1,1,197276.13,0
99,15604348,Dương Xuân Trang,,Hải Phòng,Male,22.0,8,0.0,2,0,0,99645.04,0
100,15633059,Nguyễn Thùy Phúc,413.0,Đà Nẵng,Male,34.0,9,0.0,2,0,0,6534.18,0
101,15808582,Phạm Hữu Anh,665.0,Thừa Thiên Huế,Female,,6,0.0,1,1,1,161848.03,0
102,15743192,Vũ Hải Linh,623.0,Cần Thơ,Female,44.0,6,0.0,2,0,0,,0
103,15580146,Đặng Văn Trang,738.0,Thanh Hóa,Male,31.0,9,82674.15,1,1,0,41970.72,0
104,15776605,Dương Ngọc Hải,178.0,Nghệ An,Male,121.0,7,0.0,2,1,0,60536.56,0
107,15599195,Phạm Thanh Thảo,582.0,An Giang,Male,32.0,1,88938.62,1,1,1,10054.53,0
108,15812878,Hoàng Thị Linh,785.0,Bắc Ninh,Female,36.0,2,99806.85,1,0,1,,0
109,15602312,Phạm Minh Mai,,Long An,Male,unknown,5,150092.8,1,0,0,71862.79,0
111,15803526,Đặng Xuân Hà,685.0,Kiên Giang,Male,30.0,3,90536.81,1,0,1,63082.88,0
112,15665790,Dương Tuấn Mai,,TP.HCM,Male,39.0,7,,2,1,0,,0
113,15715951,Bùi Ngọc Tâm,nan,Lâm Đồng,Male,42.0,2,100238.35,1,0,0,86797.41,0
114,15591100,Phạm Văn Lan,675.0,Đà Nẵng,Male,36.0,9,106190.55,1,0,1,22994.32,0
116,15675522,Vũ Thanh Mai,628.0,Bình Dương,Female,30.0,9,132351.29,2,1,1,74169.13,0
117,15705512,Lê Xuân Thảo,,Kiên Giang,Female,37.0,6,nan,1,1,0,115638.29,0
118,15698028,Hoàng Tuấn Linh,506.0,Đồng Nai,Female,41.0,1,0.0,2,1,0,31766.3,0
120,15600781,Đặng Văn Huyền,699.0,Bà Rịa - Vũng Tàu,Male,34.0,4,nan,2,1,0,,0
121,15682472,Lê Thanh Anh,828.0,Hải Phòng,Male,34.0,8,129433.34,2,0,0,38131.77,0
122,15580203,Võ Văn Khoa,674.0,Lâm Đồng,Male,39.0,6,120193.42,1,0,0,100130.95,0
123,15690673,Võ Tuấn Huyền,,Thanh Hóa,Female,39.0,6,0.0,2,1,0,141069.88,0
124,15760085,Võ Ngọc Mai,684.0,Hải Phòng,Female,48.0,10,126384.42,1,1,1,198129.36,0
125,15779659,Hoàng Thanh Trang,625.0,An Giang,Female,28.0,3,0.0,1,0,0,183646.41,0
129,15575492,Dương Minh Trang,828.0,Đồng Nai,Female,41.0,7,0.0,2,1,0,171378.77,0
130,15591607,Hoàng Thị Linh,770.0,Hà Nội,Male,24.0,9,,1,1,0,,0
131,15740404,Vũ Thị Trang,758.0,Thừa Thiên Huế,Female,34.0,3,0.0,2,1,1,124226.16,0
132,15718369,Bùi Thanh Linh,795.0,Kiên Giang,Female,33.0,9,130862.43,1,1,1,,0
133,15677871,Dương Thanh Hà,687.0,Thanh Hóa,Male,38.0,9,122570.87,1,1,1,35608.88,0
134,15642004,Dương Minh Tâm,686.0,Lâm Đồng,Male,25.0,1,0.0,2,0,1,16459.37,0
135,15712543,Vũ Hữu Mai,,Long An,Male,39.0,7,124828.46,2,1,1,124411.08,0
136,15584518,Trần Thùy Hải,589.0,Kiên Giang,Female,50.0,5,144895.05,2,1,1,34941.23,0
137,15802381,Bùi Thị Khoa,461.0,Đồng Nai,Female,34.0,5,63663.93,1,0,1,167784.28,0
138,15610156,Lê Văn Dũng,637.0,Cần Thơ,Male,40.0,2,133463.1,1,0,1,93165.34,0
141,15698932,Lý Phương Hà,756.0,Cần Thơ,Male,44.0,10,137452.09,1,1,0,,0
142,15724944,Đỗ Ngọc Hải,663.0,Lâm Đồng,Male,34.0,7,0.0,2,1,1,180427.24,0
143,15628145,Bùi Minh Linh,682.0,Lâm Đồng,Female,,5,125851.93,1,1,1,193318.33,0
146,15800703,Đặng Hữu Khánh,485.0,Thanh Hóa,Female,21.0,5,113157.22,1,1,1,54141.5,0
147,15705707,Ngô Thùy Khánh,635.0,Khánh Hòa,Female,,8,138296.94,2,1,0,141075.51,0
148,15754105,Ngô Phương Mai,650.0,Khánh Hòa,Male,37.0,5,106967.18,1,0,0,24495.03,0
149,15703264,Đỗ Minh Mai,735.0,Long An,Male,44.0,9,120681.63,1,1,0,74836.34,0
150,15794413,Lê Xuân Trang,,Quảng Ninh,Male,32.0,0,,2,0,1,878.87,0
151,15650237,Lê Thị Hùng,754.0,Đồng Nai,Female,32.0,7,0.0,2,1,0,89520.75,0
153,15811589,Lý Hoàng Hải,716.0,Bắc Ninh,Male,42.0,8,0.0,2,1,0,180800.42,0
154,15689044,Hoàng Hữu Tâm,539.0,Thanh Hóa,Male,37.0,2,127609.59,1,1,0,98646.22,0
155,15709368,Võ Ngọc Khánh,614.0,Khánh Hòa,Female,43.0,6,0.0,2,1,1,109041.53,0
157,15655007,Ngô Minh Minh,758.0,Đà Nẵng,Female,33.0,7,0.0,2,0,0,82996.47,0
158,15623595,Bùi Hoàng Phúc,586.0,TP.HCM,Female,28.0,2,,2,1,1,92067.35,0
159,15589975,Vũ Thị Phúc,646.0,Thanh Hóa,Female,73.0,6,97259.25,1,0,1,104719.66,0
160,15804017,Ngô Thị Khánh,nan,Quảng Ninh,Female,33.0,4,123246.7,1,0,0,112687.57,0
161,15692132,Hoàng Minh Phúc,717.0,Khánh Hòa,Female,22.0,6,101060.25,1,0,1,84699.56,0
162,15641122,Nguyễn Ngọc Khánh,684.0,Hải Phòng,Male,,2,0.0,2,1,0,83473.82,0
163,15630910,Lý Xuân Mai,800.0,Thanh Hóa,Female,unknown,7,108007.36,1,0,0,47125.11,0
164,15680772,Lê Thanh Mai,721.0,TP.HCM,Female,36.0,2,0.0,2,1,1,106977.8,0
166,15585388,Đỗ Ngọc Khánh,660.0,Thừa Thiên Huế,Male,31.0,9,125189.75,2,1,1,139874.43,0
168,15588537,Nguyễn Thị Khoa,615.0,Hải Phòng,Female,41.0,9,109013.23,1,1,0,,0
170,15611325,Dương Hải Tâm,682.0,Thừa Thiên Huế,Male,unknown,9,57929.81,2,0,0,53134.3,0
171,15587562,Vũ Ngọc Anh,484.0,Quảng Ninh,Female,29.0,4,,1,1,0,,0
172,15613172,Dương Tuấn Minh,628.0,Khánh Hòa,Male,27.0,5,95826.49,2,1,0,,0
174,15586310,Đỗ Thùy Lan,nan,Cần Thơ,Male,30.0,4,169462.09,1,1,0,112187.11,0
175,15625524,Lý Văn Anh,512.0,Khánh Hòa,Male,,5,0.0,2,1,1,146457.83,0
176,15755209,Nguyễn Hải Thảo,484.0,Kiên Giang,Female,,7,133868.21,1,1,1,27286.1,0
177,15645248,Ngô Phương Trang,510.0,Hà Nội,Female,30.0,0,0.0,2,1,1,130553.47,0
178,15790355,Nguyễn Phương Mai,nan,Nghệ An,Male,,5,190479.48,2,0,0,179351.89,0
179,15762615,Trần Minh Huyền,597.0,Thanh Hóa,Female,40.0,8,101993.12,1,0,1,94774.12,0
181,15716334,Trần Hải Hà,850.0,Hà Nội,Female,45.0,2,122311.21,1,1,1,19482.5,0
182,15789669,Vũ Thanh Trang,,Long An,Male,65.0,2,0.0,2,1,1,48071.61,0
183,15621075,Vũ Hữu Tâm,778.0,An Giang,Female,45.0,1,162150.42,2,1,0,,0
184,15810845,Đặng Hữu Phúc,636.0,Cần Thơ,Male,42.0,2,0.0,2,1,1,,0
186,15654506,Vũ Minh Dũng,514.0,Thừa Thiên Huế,Male,32.0,8,,2,1,0,95857.18,0
187,15771977,Đỗ Hoàng Hà,730.0,TP.HCM,Female,,1,99010.67,1,1,0,194945.8,0
188,15708710,Đặng Thị Tâm,525.0,Cần Thơ,Female,37.0,0,0.0,1,0,1,131521.72,0
189,15726676,Vũ Hải Mai,616.0,Thừa Thiên Huế,Male,30.0,5,0.0,2,0,1,196108.51,0
190,15587421,Dương Minh Thảo,687.0,Nghệ An,Female,34.0,7,111388.18,2,1,0,,0
192,15771086,Đỗ Thanh Hà,512.0,Long An,Female,36.0,3,84327.77,2,1,0,,0
193,15756850,Bùi Thị Tuấn,479.0,Bà Rịa - Vũng Tàu,Male,unknown,1,,2,0,0,114996.43,0
194,15702741,Đặng Minh Hùng,nan,TP.HCM,Male,32.0,8,93012.89,1,1,0,86957.42,0
195,15679200,Dương Văn Khánh,153.0,Bà Rịa - Vũng Tàu,Male,118.0,9,374219.8353747471,2,1,0,128077.8,0
196,15594815,Hoàng Phương Thảo,807.0,Long An,Male,35.0,3,,1,1,1,600.36,0
197,15635905,Lý Thị Phúc,nan,Cần Thơ,Female,32.0,6,0.0,2,1,1,43001.46,0
198,15777892,Ngô Thanh Huyền,,An Giang,Male,37.0,3,107720.64,1,1,1,158591.12,0
199,15656176,Ngô Văn Khánh,501.0,Hà Nội,Male,57.0,10,0.0,2,1,1,47847.19,0
200,15811127,Lý Xuân Trang,,Đà Nẵng,Male,,6,96423.84,1,1,0,10488.44,0
201,15604482,Bùi Thanh Minh,850.0,TP.HCM,Male,30.0,2,141040.01,1,1,1,5978.2,0
202,15622911,Bùi Tuấn Khánh,197.0,Đồng Nai,Male,119.0,4,678563.1872356433,1,0,1,121409.06,0
205,15627801,Đặng Ngọc Hùng,512.0,Bình Dương,Male,33.0,3,nan,1,1,0,94670.77,0
206,15773039,Nguyễn Tuấn Trang,550.0,Thanh Hóa,Male,37.0,3,,1,1,1,179670.31,0
208,15679531,Trần Thùy Hải,618.0,Thanh Hóa,Male,34.0,5,134954.53,1,1,1,151954.39,0
210,15612087,Võ Thanh Khoa,671.0,Quảng Ninh,Male,45.0,2,106376.85,1,0,1,158264.62,0
211,15752047,Dương Văn Khánh,689.0,An Giang,Male,33.0,2,161814.64,2,1,0,169381.9,0
212,15624592,Võ Minh Hùng,603.0,An Giang,Male,31.0,8,0.0,2,1,1,169915.02,0
213,15573152,Vũ Xuân Hà,620.0,Nghệ An,Female,41.0,9,0.0,2,0,0,88852.47,0
214,15594917,Đặng Phương Huyền,676.0,Cần Thơ,Female,34.0,1,63095.01,1,1,1,,0
215,15785542,Ngô Hải Khánh,572.0,Long An,Male,26.0,4,,2,0,0,60427.3,0
217,15680920,Lê Hải Khánh,695.0,Cần Thơ,Male,46.0,7,,1,1,0,133007.34,0
218,15786308,Lý Xuân Anh,nan,Bình Dương,Female,33.0,9,0.0,2,0,0,,0
221,15725311,Hoàng Hữu Minh,726.0,Đồng Nai,Female,31.0,9,,2,1,1,98178.57,0
222,15787155,Dương Minh Dũng,514.0,Bà Rịa - Vũng Tàu,Male,30.0,7,0.0,1,0,1,125010.24,0
223,15727829,Trần Hoàng Hải,567.0,Khánh Hòa,Male,42.0,2,0.0,2,1,1,167984.61,0
226,15699029,Phạm Tuấn Hùng,670.0,Đà Nẵng,Male,37.0,4,170557.91,2,1,0,198252.88,0
227,15774393,Trần Thùy Dũng,694.0,Khánh Hòa,Female,,9,0.0,2,1,1,26960.31,0
230,15605461,Đỗ Thanh Tâm,594.0,Thừa Thiên Huế,Female,29.0,3,130830.22,1,1,0,61048.53,0
231,15808473,Lê Ngọc Hà,673.0,Kiên Giang,Male,72.0,1,0.0,2,0,1,111981.19,0
232,15627000,Vũ Minh Tuấn,610.0,Đà Nẵng,Male,unknown,0,0.0,2,1,0,,0
233,15787174,Dương Văn Khánh,512.0,An Giang,Female,37.0,1,0.0,2,0,1,156105.03,0
234,15723886,Lê Minh Tâm,767.0,Đồng Nai,Male,20.0,3,119714.25,2,0,1,150135.38,0
235,15704769,Nguyễn Ngọc Nam,nan,Hà Nội,Female,67.0,5,113978.97,2,0,1,93146.11,0
237,15711540,Lê Thùy Huyền,712.0,Long An,Female,29.0,2,0.0,1,1,1,,0
240,15795149,Vũ Thùy Hùng,703.0,Long An,Male,unknown,2,,2,0,1,162812.16,0
241,15812009,Trần Hải Khoa,662.0,Đà Nẵng,Male,38.0,4,,2,1,0,136259.65,0
242,15651001,Vũ Minh Anh,725.0,Thanh Hóa,Female,,5,116803.8,1,1,0,124052.97,0
243,15813844,Đặng Thị Minh,703.0,Đồng Nai,Male,37.0,8,,2,0,1,74158.8,0
245,15576269,Trần Thị Hà,523.0,Bà Rịa - Vũng Tàu,Male,34.0,7,0.0,2,1,0,62030.06,0
247,15685500,Lê Hữu Dũng,772.0,Bắc Ninh,Male,,7,nan,2,1,0,79414.0,0
248,15599792,Phạm Minh Minh,545.0,Cần Thơ,Female,,1,0.0,2,1,1,199638.56,0
249,15657566,Bùi Hoàng Tuấn,634.0,Hà Nội,Male,24.0,8,103097.85,1,1,1,157577.29,0
251,15628112,Hoàng Phương Nam,771.0,Hà Nội,Female,36.0,5,77846.9,1,0,0,99805.99,0
252,15753754,Trần Hữu Phúc,587.0,Khánh Hòa,Female,34.0,1,0.0,2,1,1,97932.68,0
253,15793726,Lý Ngọc Dũng,,Khánh Hòa,Female,,0,0.0,2,0,1,170968.99,0
254,15694717,Đỗ Thùy Dũng,544.0,Thanh Hóa,Male,37.0,2,79731.91,1,1,1,57558.95,0
255,15665834,Hoàng Ngọc Huyền,696.0,Kiên Giang,Male,28.0,8,0.0,1,0,0,176713.47,0
256,15765297,Võ Hải Minh,,Thanh Hóa,Male,41.0,0,0.0,2,0,1,34283.23,0
257,15636684,Lê Minh Lan,727.0,An Giang,Male,34.0,10,0.0,2,1,1,198637.34,0
258,15592979,Dương Văn Dũng,671.0,Thanh Hóa,Female,34.0,6,,2,0,0,156917.12,0
259,15750803,Nguyễn Xuân Huyền,693.0,Hà Nội,Female,30.0,6,127992.25,1,1,1,50457.2,0
260,15607178,Võ Hải Trang,850.0,An Giang,Male,38.0,3,54901.01,1,1,1,140075.55,0
261,15713853,Dương Hữu Huyền,732.0,Thừa Thiên Huế,Male,42.0,9,108748.08,2,1,1,65323.11,0
262,15673481,Hoàng Văn Minh,726.0,Đà Nẵng,Female,48.0,6,99906.19,1,1,0,64323.24,0
263,15686776,Lê Ngọc Trang,557.0,Đà Nẵng,Female,32.0,6,184686.41,2,1,0,14956.44,0
264,15673693,Đặng Thanh Minh,682.0,Bắc Ninh,Female,26.0,0,110654.02,1,0,1,111879.21,0
265,15700696,Lý Xuân Thảo,738.0,Thanh Hóa,Male,,9,79019.8,1,1,1,18606.23,0
266,15813163,Lê Hữu Hải,531.0,Bắc Ninh,Female,unknown,9,99240.51,1,1,0,123137.01,0
267,15653857,Phạm Xuân Minh,498.0,Đồng Nai,Male,34.0,2,0.0,2,1,1,,0
268,15777076,Vũ Hữu Thảo,233.0,Hải Phòng,Male,121.0,7,,2,1,0,13898.31,0
270,15799217,Hoàng Thanh Khánh,nan,Hải Phòng,Female,,7,52436.2,1,1,0,161051.75,0
271,15787071,Phạm Thanh Minh,650.0,Nghệ An,Male,41.0,9,0.0,2,0,1,191599.67,0
273,15796505,Ngô Minh Mai,811.0,Cần Thơ,Female,,1,149297.19,2,1,1,186339.74,0
274,15725166,Lý Văn Hải,,Kiên Giang,Male,30.0,8,0.0,2,1,0,33159.37,0
275,15800116,Trần Văn Hà,712.0,Đà Nẵng,Male,unknown,4,,1,0,1,,0
276,15758685,Bùi Minh Thảo,706.0,TP.HCM,Female,37.0,7,0.0,2,1,1,110899.3,0
278,15767339,Dương Xuân Hà,nan,Khánh Hòa,Female,53.0,10,0.0,2,1,0,189992.97,0
279,15683562,Đỗ Thanh Tâm,646.0,Bình Dương,Male,35.0,6,84026.86,1,0,1,164255.69,0
281,15668893,Phạm Tuấn Hùng,782.0,Bình Dương,Male,39.0,8,nan,2,1,1,33949.67,0
282,15669169,Bùi Hữu Tuấn,775.0,Lâm Đồng,Male,29.0,10,0.0,2,1,1,,0
284,15699389,Lê Tuấn Minh,807.0,Thừa Thiên Huế,Male,,7,118274.71,1,1,1,25885.72,0
285,15708608,Lý Hoàng Trang,799.0,Bà Rịa - Vũng Tàu,Female,22.0,8,174185.98,2,0,1,192633.85,0
286,15626144,Nguyễn Ngọc Hà,675.0,Đồng Nai,Male,unknown,7,113208.86,2,1,0,34577.36,0
287,15573112,Bùi Ngọc Thảo,602.0,Lâm Đồng,Male,29.0,5,103907.28,1,1,0,161229.84,0
288,15790678,Ngô Thanh Minh,,Đồng Nai,Female,32.0,8,nan,1,1,0,100816.29,0
289,15727556,Nguyễn Minh Lan,744.0,Thừa Thiên Huế,Female,26.0,5,166297.89,1,1,1,181694.44,0
290,15697307,Dương Hữu Hà,588.0,Quảng Ninh,Male,34.0,10,0.0,2,1,0,79078.91,0
291,15652266,Vũ Minh Lan,703.0,Bình Dương,Male,42.0,9,63227.0,1,0,1,137316.32,0
292,15607098,Đỗ Hữu Huyền,nan,Đà Nẵng,Female,41.0,5,94521.17,2,1,0,194926.86,0
293,15655774,Đỗ Minh Huyền,583.0,Long An,Male,27.0,7,0.0,2,1,0,51285.49,0
295,15785819,Bùi Xuân Hùng,,Quảng Ninh,Male,,3,,2,1,1,112491.96,0
296,15723654,Dương Phương Thảo,773.0,Hải Phòng,Male,,2,135903.33,1,1,0,,0
297,15774510,Vũ Hải Hà,714.0,Nghệ An,Female,31.0,4,125169.26,1,1,1,,0
299,15650068,Lý Tuấn Thảo,511.0,Bình Dương,Male,58.0,0,nan,1,1,1,162599.51,0
300,15811490,Ngô Phương Trang,627.0,Long An,Male,33.0,5,0.0,2,1,1,103737.82,0
301,15803976,Lý Tuấn Khoa,694.0,Hà Nội,Female,31.0,10,0.0,2,1,0,160990.27,0
302,15682541,Dương Hải Hùng,616.0,Hải Phòng,Female,36.0,6,132311.71,1,0,0,15462.84,0
303,15695699,Võ Hữu Hải,687.0,Long An,Male,35.0,8,,2,1,0,10334.05,0
304,15624188,Phạm Tuấn Nam,712.0,Hà Nội,Female,33.0,6,0.0,2,1,1,190686.16,0
305,15812191,Hoàng Phương Hải,233.0,TP.HCM,Male,119.0,4,1100146.8609604854,1,0,0,94440.45,0
306,15636673,Phạm Hải Phúc,667.0,Bắc Ninh,Male,31.0,1,119266.69,1,1,1,28257.63,0
308,15660211,Võ Văn Tâm,nan,An Giang,Male,35.0,7,156847.29,2,1,0,31824.29,0
310,15746726,Hoàng Ngọc Tâm,438.0,Khánh Hòa,Male,31.0,8,,1,1,0,44937.01,0
311,15712287,Lý Thị Phúc,652.0,Cần Thơ,Female,80.0,4,0.0,2,1,1,188603.07,0
312,15702919,Đặng Thùy Hùng,729.0,An Giang,Male,30.0,6,63669.42,1,1,0,145111.37,0
313,15674398,Dương Thị Hùng,642.0,Thừa Thiên Huế,Male,38.0,3,0.0,2,0,0,171463.83,0
314,15797960,Lý Xuân Khoa,806.0,Hà Nội,Female,59.0,0,135296.33,1,1,0,182822.5,0
315,15631868,Lý Hữu Khoa,744.0,Thanh Hóa,Male,36.0,2,153804.44,1,1,1,87213.33,0
316,15581539,Phạm Thanh Hà,nan,Khánh Hòa,Male,37.0,3,0.0,2,0,0,57175.32,0
